Datetime,Temperature [K],Voltage [V],Resistance [𝛀],Current Source [A],Electric Field [V/cm],Restivity [𝛀 cm],Current Density [A/cm2]
2023-05-18 15:06:59.762728,107.63573125847502,7.68101744e-06,inf,0.0,0.0001200158975,inf,0.0
2023-05-18 15:07:01.029539,107.63823038140295,0.0425978618,282.56581660666666,0.0001507537688442211,0.665591590625,481.2449064082292,0.0013830620994882668
2023-05-18 15:07:01.643808,107.63906374087844,0.085166973,282.4704604500001,0.0003015075376884422,1.330733953125,481.0825029539063,0.0027661241989765336
2023-05-18 15:07:02.990120,107.64210893716118,0.127683179,282.3216957888889,0.00045226130653266326,1.9950496718750002,480.82913814045145,0.004149186298464801
2023-05-18 15:07:03.598047,107.64345897777814,0.1701865,282.22594583333336,0.0006030150753768844,2.6591640625,480.6660639973959,0.005532248397953067
2023-05-18 15:07:04.199897,107.64429232838066,0.212614089,282.06802474,0.0007537688442211055,3.322095140625,480.39710463531253,0.006915310497441335
2023-05-18 15:07:04.826222,107.64541245732718,0.254959748,281.87216584444445,0.0009045226130653265,3.9837460625,480.06353245381945,0.008298372596929601
2023-05-18 15:07:05.472106,107.64624580461498,0.297337348,281.7625345333334,0.0010552763819095476,4.6458960625,479.8768166270835,0.009681434696417867
2023-05-18 15:07:06.078889,107.6482855474759,0.33943365,281.447068125,0.0012060301507537687,5.303650781249999,479.3395379003906,0.011064496795906134
2023-05-18 15:07:06.703737,107.64906105240426,0.381492553,281.17414091481487,0.0013567839195979898,5.960821140625,478.874708745544,0.012447558895394402
2023-05-18 15:07:07.311496,107.65092871773174,0.423362724,280.83060692000004,0.001507537688442211,6.6150425625,478.28962741062503,0.01383062099488267
2023-05-18 15:07:07.927025,107.65190520263447,0.465147591,280.4980927545455,0.001658291457286432,7.2679311093750005,477.7233142225853,0.015213683094370935
2023-05-18 15:07:08.555504,107.65325569829893,0.5066369,280.0576197222222,0.001809045226130653,7.916201562499999,476.9731335894097,0.016596745193859203
2023-05-18 15:07:09.164401,107.65423217857575,0.548032492,279.63709207179494,0.001959798994974874,8.5630076875,476.2569224347758,0.01797980729334747
2023-05-18 15:07:09.778783,107.6553527668271,0.589040377,279.09294053095243,0.002110552763819095,9.203755890625,475.3301643417784,0.019362869392835734
2023-05-18 15:07:10.421192,107.65653022519032,0.629818796,278.51986756444444,0.0022613065326633165,9.8409186875,474.35414944569453,0.020745931492324003
2023-05-18 15:07:11.055925,107.65765080819942,0.670273758,277.88432883750005,0.0024120603015075374,10.473027468749999,473.2717475513672,0.02212899359181227
2023-05-18 15:07:11.667020,107.65934589600528,0.710541402,277.25046862352946,0.0025628140703517583,11.102209406250001,472.1922043744487,0.023512055691300535
2023-05-18 15:07:12.270211,107.66060961702959,0.750408029,276.5392551314815,0.0027135678391959797,11.725125453125,470.9809188958045,0.024895117790788804
2023-05-18 15:07:12.883318,107.6618164627536,0.790038687,275.8205240578948,0.0028643216080402006,12.344354484375,469.75683003610203,0.02627817989027707
2023-05-18 15:07:13.498434,107.66325272097382,0.829158021,275.004076965,0.003015075376884422,12.955594078125,468.3663185810156,0.02766124198976534
2023-05-18 15:07:14.123480,107.66483260016655,0.868049638,274.19345708253974,0.003165829145728643,13.56327559375,466.98573159370045,0.029044304089253604
2023-05-18 15:07:14.741739,107.66626884956975,0.906411378,273.2967639727273,0.003316582914572864,14.16267778125,465.4585511410512,0.03042736618874187
2023-05-18 15:07:15.374813,107.66741832803055,0.944349529,272.3558786536232,0.003467336683417085,14.755461390625,463.85610583195194,0.03181042828823014
2023-05-18 15:07:16.005212,107.66842369776269,0.981762554,271.3482614527778,0.003618090452261306,15.34003990625,462.1400077867622,0.033193490387718405
2023-05-18 15:07:16.631649,107.66980258358495,1.01871093,270.29796676,0.003768844221105527,15.917358281249998,460.351224638125,0.03457655248720667
2023-05-18 15:07:17.269514,107.67086530140533,1.05504756,269.17239030769235,0.003919597989949748,16.485118125,458.43422724278855,0.03595961458669494
2023-05-18 15:07:17.883825,107.67258877902522,1.09114484,268.07138661728396,0.004070351758793969,17.049138125,456.55908033256173,0.037342676686183206
2023-05-18 15:07:18.492314,107.67368040811564,1.1266594,266.910976904762,0.00422110552763819,17.604053125,454.5827575409227,0.03872573878567147
2023-05-18 15:07:19.104377,107.67465732975326,1.16170448,265.7232086436782,0.004371859296482411,18.1516325,452.5598397212645,0.04010880088515974
2023-05-18 15:07:19.732123,107.67617981993837,1.19613317,264.4783342555556,0.004522613065326633,18.689580781249997,450.43966302899304,0.041491862984648006
2023-05-18 15:07:21.080864,107.67899489620501,1.22374455,261.8550166129032,0.004673366834170854,19.12100859375,445.9718251688508,0.042874925084136276
2023-05-18 15:07:21.703652,107.68080461400078,1.25767816,260.7062019166667,0.004824120603015075,19.65122125,444.015250139323,0.04425798718362454
2023-05-18 15:07:22.338956,107.68123547525822,1.29067027,259.4377613434344,0.004974874371859296,20.166722968749998,441.85493728803664,0.04564104928311281
2023-05-18 15:07:22.965203,107.68252853871054,1.32304587,258.12365502941185,0.005125628140703517,20.672591718750002,439.61684997196704,0.04702411138260107
2023-05-18 15:07:23.578376,107.68410835593336,1.35498435,256.8017958571429,0.0052763819095477385,21.17163046875,437.3655585691964,0.048407173482089345
2023-05-18 15:07:24.186686,107.68511369152232,1.38624051,255.4276495277778,0.005427135678391959,21.660007968749998,435.02521560199654,0.04979023558157761
2023-05-18 15:07:24.792032,107.68654988165386,1.41704929,254.04757541441444,0.00557788944723618,22.14139515625,432.67477687767456,0.05117329768106588
2023-05-18 15:07:25.390844,107.68744051020468,1.44721282,252.62750103508776,0.005728643216080401,22.6127003125,430.2562127003838,0.05255635978055414
2023-05-18 15:07:26.023879,107.68939381489855,1.47687359,251.19473881196586,0.005879396984924622,23.076149843750002,427.81603953912935,0.05393942188004241
2023-05-18 15:07:26.643625,107.69077264188813,1.50530866,249.63035278333336,0.006030150753768844,23.520447812500002,425.15169458411464,0.05532248397953068
2023-05-18 15:07:27.249982,107.69157699600751,1.53366946,248.1302622276423,0.006180904522613065,23.9635853125,422.59685285645327,0.05670554607901895
2023-05-18 15:07:27.859156,107.69330040100206,1.56115318,246.56308160317462,0.006331658291457286,24.3930184375,419.9277483554068,0.05808860817850721
2023-05-18 15:07:28.465556,107.69444981624326,1.58819725,245.00097112403103,0.006482412060301507,24.81558203125,417.2672789456153,0.05947167027799548
2023-05-18 15:07:29.086105,107.6960580292003,1.61443411,243.3881726439394,0.006633165829145728,25.22553296875,414.5204815342093,0.06085473237748374
2023-05-18 15:07:29.719022,107.69694864052543,1.63965086,241.69668232592596,0.006783919597989949,25.6195446875,411.6396620863427,0.062237794476972
2023-05-18 15:07:30.338176,107.69898817293704,1.66453109,240.03020790579714,0.00693467336683417,26.008298281250003,408.8014478395607,0.06362085657646029
2023-05-18 15:07:30.959303,107.69964889865958,1.68892925,238.36661046099292,0.007085427135678391,26.38951953125,405.9681334413786,0.06500391867594854
2023-05-18 15:07:32.476713,107.70039588874269,1.7131676,236.75024472222225,0.007236180904522612,26.76824375,403.21526054253474,0.06638698077543681
2023-05-18 15:07:33.089809,107.7047621435581,1.7231735,233.27314727891158,0.007386934673366833,26.924585937499998,397.29332895939626,0.06777004287492508
