Datetime,Voltage [V],Resistance [𝛀],Current Source [A],Electric Field [V/cm],Restivity [𝛀 cm],Current Density [A/cm2]
2022-05-13 16:46:02.008992,0.000126086969,126.08696900000001,1e-06,0.007779160615240341,184.7550646119581,4.210526315789474e-05
2022-05-13 16:46:02.583801,0.000127451388,127.451388,1e-06,0.007863340880906696,186.75434592153402,4.210526315789474e-05
2022-05-13 16:46:03.159648,0.000128770121,128.77012100000002,1e-06,0.007944702467254433,188.68668359729278,4.210526315789474e-05
2022-05-13 16:46:03.760803,0.000128619953,128.619953,1e-06,0.007935437584447475,188.46664263062752,4.210526315789474e-05
2022-05-13 16:46:04.384257,0.000129338823,129.338823,1e-06,0.007979789552266432,189.52000186632773,4.210526315789474e-05
2022-05-13 16:46:04.966059,0.00012929828,129.29828,1e-06,0.007977288179512966,189.46059426343294,4.210526315789474e-05
2022-05-13 16:46:05.541526,0.000128665942,128.665942,1e-06,0.007938274957891945,188.5340302499337,4.210526315789474e-05
2022-05-13 16:46:06.129136,0.000128843039,128.843039,1e-06,0.007949201273421642,188.793530243764,4.210526315789474e-05
2022-05-13 16:46:06.742704,0.000129768653,129.768653,1e-06,0.008006308681354615,190.1498311821721,4.210526315789474e-05
2022-05-13 16:46:07.343519,0.000128927451,128.927451,1e-06,0.00795440922243542,188.91721903284122,4.210526315789474e-05
2022-05-13 16:46:07.914630,0.000129339631,129.339631,1e-06,0.007979839403268695,189.5211858276315,4.210526315789474e-05
2022-05-13 16:46:08.510627,0.000129064912,129.06491200000002,1e-06,0.00796289012419563,189.1186404496462,4.210526315789474e-05
2022-05-13 16:46:09.091939,0.000129358894,129.358894,1e-06,0.007981027868437776,189.5494118753972,4.210526315789474e-05
2022-05-13 16:46:09.673872,0.000129359398,129.359398,1e-06,0.007981058963617406,189.55015038591338,4.210526315789474e-05
2022-05-13 16:46:10.248445,0.000129380813,129.380813,1e-06,0.007982380200267765,189.5815297563594,4.210526315789474e-05
2022-05-13 16:46:10.823443,0.000128996872,128.996872,1e-06,0.007958692274945552,189.01894152995686,4.210526315789474e-05
2022-05-13 16:46:11.413609,0.000129462604,129.462604,1e-06,0.007987426442008108,189.70137799769256,4.210526315789474e-05
2022-05-13 16:46:11.995550,0.000128969541,128.969541,1e-06,0.00795700604011525,188.9788934527372,4.210526315789474e-05
2022-05-13 16:46:12.597614,0.000129250614,129.250614,1e-06,0.007974347340560085,189.39074933830202,4.210526315789474e-05
2022-05-13 16:46:13.174748,0.000128901063,128.901063,1e-06,0.007952781167673353,188.87855273224213,4.210526315789474e-05
2022-05-13 16:46:13.764541,0.000129142498,129.142498,1e-06,0.007967676930955129,189.23232711018431,4.210526315789474e-05
2022-05-13 16:46:14.367095,0.000130034933,130.034933,1e-06,0.008022737301259231,190.54001090490675,4.210526315789474e-05
2022-05-13 16:46:14.953093,0.000129509295,129.509295,1e-06,0.007990307126595634,189.7697942566463,4.210526315789474e-05
2022-05-13 16:46:15.530494,0.000130433699,130.43369900000002,1e-06,0.00804733988141878,191.12432218369602,4.210526315789474e-05
2022-05-13 16:46:16.119147,0.000130364314,130.364314,1e-06,0.008043059049992906,191.02265243733152,4.210526315789474e-05
2022-05-13 16:46:16.697798,0.000129722091,129.722091,1e-06,0.00800343595565235,190.08160394674331,4.210526315789474e-05
2022-05-13 16:46:17.281671,0.000129615088,129.61508800000001,1e-06,0.007996834214569079,189.9248125960156,4.210526315789474e-05
2022-05-13 16:46:17.863065,0.000129244736,129.24473600000002,1e-06,0.007973984686857968,189.38213631287672,4.210526315789474e-05
2022-05-13 16:46:18.456959,0.000130354303,130.354303,1e-06,0.008042441403478465,191.00798333261355,4.210526315789474e-05
2022-05-13 16:46:19.065742,0.000130736934,130.73693400000002,1e-06,0.008066048506012353,191.56865201779337,4.210526315789474e-05
2022-05-13 16:46:19.673038,0.000130133439,130.133439,1e-06,0.008028814804760524,190.68435161306246,4.210526315789474e-05
2022-05-13 16:46:20.246913,0.000130459592,130.45959200000001,1e-06,0.008048937396272281,191.16226316146668,4.210526315789474e-05
2022-05-13 16:46:20.834455,0.000129169198,129.169198,1e-06,0.007969324235114109,189.27145058396007,4.210526315789474e-05
2022-05-13 16:46:21.408420,0.000129175249,129.175249,1e-06,0.007969697562360026,189.2803171060506,4.210526315789474e-05
2022-05-13 16:46:21.982664,0.000130115799,130.11579899999998,1e-06,0.008027726473473468,190.65850374499485,4.210526315789474e-05
2022-05-13 16:46:22.571704,0.000130706789,130.70678900000001,1e-06,0.008064188656429114,191.52448059019144,4.210526315789474e-05
2022-05-13 16:46:23.176374,0.000130660801,130.660801,1e-06,0.008061351344681429,191.45709443618392,4.210526315789474e-05
2022-05-13 16:46:23.760455,0.000130625402,130.625402,1e-06,0.008059167340189905,191.40522432951025,4.210526315789474e-05
2022-05-13 16:46:24.354237,0.000130657372,130.657372,1e-06,0.008061139786405732,191.45206992713614,4.210526315789474e-05
2022-05-13 16:46:24.931277,0.000131082864,131.082864,1e-06,0.008087391274840669,192.07554277746587,4.210526315789474e-05
2022-05-13 16:46:25.550250,0.000131073185,131.073185,1e-06,0.008086794111658841,192.06136015189747,4.210526315789474e-05
2022-05-13 16:46:26.140206,0.000131006523,131.00652300000002,1e-06,0.00808268128057847,191.96368041373864,4.210526315789474e-05
2022-05-13 16:46:26.719530,0.000132434176,132.43417599999998,1e-06,0.008170762880746285,194.05561841772425,4.210526315789474e-05
2022-05-13 16:46:27.319975,0.00013202956,132.02956,1e-06,0.0081457993743946,193.46273514187178,4.210526315789474e-05
2022-05-13 16:46:27.897247,0.000133243105,133.243105,1e-06,0.008220671199323805,195.24094098394036,4.210526315789474e-05
2022-05-13 16:46:28.484634,0.000132809545,132.809545,1e-06,0.008193921941227643,194.6056461041565,4.210526315789474e-05
2022-05-13 16:46:29.085119,0.000131409122,131.409122,1e-06,0.008107520344514849,192.55360818222766,4.210526315789474e-05
2022-05-13 16:46:29.677444,0.000130783642,130.783642,1e-06,0.008068930239445223,191.63709318682402,4.210526315789474e-05
2022-05-13 16:46:30.252932,0.000131404181,131.40418100000002,1e-06,0.00810721550070026,192.54636814163118,4.210526315789474e-05
2022-05-13 16:46:30.845904,0.000130277368,130.27736800000002,1e-06,0.008037694761325988,190.8952505814922,4.210526315789474e-05
