Temperature [K],Voltage [V],Resistance [Ohm],Current Source [A],Electric Field [V/cm],Restivity [Ohm cm],Current Density [A/cm2]
173.63699430655558,12.28693972,1228693.9719999998,1e-05,517.1270925925926,2485829.9340925924,0.0002080299563137092
173.6837933882909,46.21247703,923139.5531613291,5.006012024048096e-05,1944.969571969697,1867648.0774606518,0.0010414004626686283
173.72946631123799,68.03546525,754941.008666889,9.012024048096192e-05,2863.4455071548823,1527357.5036455118,0.0018747709690235474
173.77683041643687,80.71824387,620049.3179053263,0.0001301803607214429,3397.232486111111,1254451.6292806831,0.002708141475378467
173.82600929728278,88.28884199000001,518612.50327263103,0.00017024048096192385,3715.8603531144786,1049229.925602499,0.0035415119817333853
173.87526249167155,92.46766945,439692.8440589861,0.0002103006012024048,3891.736929713805,889563.7632119303,0.004374882488088304
173.92720144993547,94.73404742,378390.2158215,0.0002503607214428858,3987.123207912458,765539.4644166459,0.005208252994443224
173.97786152151298,95.59032868000001,329144.1761752691,0.0002904208416833668,4023.161981481482,665907.4305027436,0.006041623500798144
174.02825108977936,95.73408939,289681.10245352006,0.0003304809619238477,4029.212516414141,586067.7859823531,0.006874994007153063
174.08045722176735,95.49148674,257708.23084510546,0.0003705410821643287,4019.0019671717173,521381.92999681056,0.0077083645135079815
174.13333243230807,95.25689214,231993.6999261067,0.0004106012024048096,4009.128457070707,469357.62438754,0.0085417350198629
174.1851289596616,94.60709766,209929.4812003735,0.0004506613226452906,3981.780204545454,424718.44113223715,0.00937510552621782
174.23735492345372,93.75261616000002,191050.57975186838,0.0004907214428857715,3945.817178451179,386523.62662762264,0.010208476032572737
174.29015770489625,93.01340128000001,175238.56844642453,0.0005307815631262526,3914.7054410774417,354533.5852365163,0.011041846538927659
174.34221073320992,91.76721969999998,160757.74137370542,0.0005708416833667335,3862.256721380471,325236.72676069103,0.011875217045282578
174.39476691200375,91.06071123,149059.4899087062,0.0006109018036072145,3832.5215164141414,301569.4309727065,0.012708587551637496
174.44814720697,89.03413350999999,136773.18173041282,0.0006509619238476954,3747.227841329966,276712.4093342148,0.013541958057992414
174.50034095977801,87.96394476,127295.42496154516,0.0006910220440881764,3702.1862272727276,257537.50327868166,0.014375328564347334
174.55266419334632,86.98447193999998,118980.43227449902,0.0007310821643286573,3660.9626237373727,240715.04122201886,0.015208699070702252
174.6057219167737,83.87551763,108767.88798692828,0.0007711422845691383,3530.1143783670036,220053.55115873917,0.016042069577057172
174.6584248538376,82.30017452,101454.54948363348,0.0008112024048096192,3463.8120589225587,205257.58390901773,0.01687544008341209
174.7097444896875,81.27207139000001,95472.39423609868,0.0008512625250501003,3420.5417251683507,193154.797598033,0.01770881058976701
174.76317428883826,80.23262947,90015.24856786654,0.0008913226452905812,3376.794169612795,182114.18344517445,0.01854218109612193
174.8165020419108,78.89344119,84705.71295681642,0.0009313827655310622,3320.4310265151516,171372.20630615173,0.01937555160247685
174.86962241591112,77.96221950999998,80254.04339451261,0.0009714428857715431,3281.238194865319,162365.81927500933,0.020208922108831767
174.92270612700105,77.23027465000001,76351.99716755161,0.0010115030060120242,3250.4324347643105,154471.40167694472,0.02104229261518669
174.97530379676937,76.22466891000002,72487.01196060832,0.0010515631262525051,3208.1089608585867,146651.9640128974,0.021875663121541607
175.02858566489925,75.39465048,69066.54903348508,0.001091623246492986,3173.175525252525,139731.86077607863,0.022709033627896526
175.08178382957308,74.52027275,65849.04836509004,0.001131683366733467,3136.375115740741,133222.38025714978,0.023542404134251446
175.13537418265605,73.67698970000001,62878.08766940312,0.001171743486973948,3100.883404882155,127211.6866274498,0.024375774640606366
175.18761062723297,72.90444436,60161.93046956291,0.001211803607214429,3068.3688703703706,121716.49821851388,0.025209145146961282
175.24153580103146,72.25552686,57718.364447621185,0.0012518637274549099,3041.057527777778,116772.80214634471,0.026042515653316202
175.29507737403875,71.41881967,55280.98254196721,0.0012919238476953908,3005.842578703704,111841.61745759107,0.02687588615967112
175.3484247208697,69.76823117,52379.182369677736,0.0013319839679358718,2936.373365740741,105970.84581272765,0.027709256666026038
175.4013518209048,68.82319241999998,50161.06480330094,0.0013720440881763527,2896.599007575757,101483.26536593756,0.028542627172380958
