Temperature [K],Voltage source [V],Resistance [𝛀],Current [A],Electric Field [V/cm],Restivity [𝛀 cm],Current Density [A/cm2]
87.74530783107816,5.0,131366099.7168535,3.806157e-08,85.76329331046313,133123656.45406012,6.442378131347326e-07
87.74488762333341,5.204081632653061,130386217.57753678,3.991282e-08,89.26383589456366,132130664.39932887,6.755724441435341e-07
87.74428009319159,5.408163265306122,129609394.89496568,4.172663e-08,92.76437847866418,131343448.54879197,7.062733581584293e-07
87.74530783107816,5.612244897959184,128899395.97602428,4.353973e-08,96.26492106276474,130623950.5019471,7.369622545700744e-07
87.74452310537204,5.816326530612245,128132901.13551286,4.539292e-08,99.76546364686527,129847200.67043054,7.683297224102912e-07
87.74446235234242,6.020408163265306,127325503.20333701,4.72836e-08,103.2660062309658,129029000.50176932,8.003317535545024e-07
87.74434084625217,6.224489795918368,126625023.03174242,4.915687e-08,106.76654881506634,128319148.55429403,8.320390995260663e-07
87.745186325275,6.428571428571429,123518912.17278332,5.204524e-08,110.26709139916687,125171480.80905727,8.809282329045361e-07
87.74500912923799,6.63265306122449,125171226.53505524,5.298864e-08,113.76763398326742,126845901.60705084,8.968964116452269e-07
87.74488762333341,6.836734693877551,124531435.14118665,5.489967e-08,117.26817656736795,126197550.39693496,9.292428909952607e-07
87.74555084256085,7.040816326530612,123803323.35631655,5.687098e-08,120.76871915146847,125459697.15079215,9.626096817874069e-07
87.74512557235784,7.244897959183674,123122700.07013035,5.884291e-08,124.26926173556902,124769967.75545973,9.959869668246444e-07
87.74524707818172,7.448979591836735,122548341.11531529,6.078401e-08,127.76980431966956,124187924.40982552,1.0288424170616113e-06
87.74536858396438,7.653061224489796,121833476.86670612,6.281575e-08,131.27034690377008,123463495.93970835,1.0632320582261342e-06
87.74584954394908,7.857142857142858,121180113.63830402,6.483855e-08,134.77088948787065,122801391.31648375,1.0974703791469194e-06
87.74488762333341,8.061224489795919,120438588.18703689,6.693224e-08,138.27143207197116,122049944.94151182,1.1329085985104943e-06
87.74561159540582,8.26530612244898,119708089.96050546,6.904551e-08,141.7719746560717,121309673.32532871,1.1686782329045363e-06
87.74567234824038,8.46938775510204,118995210.97608614,7.117419e-08,145.27251724017222,120587256.68039742,1.2047087000677047e-06
87.7447661173875,8.673469387755102,118091942.63538007,7.344675e-08,148.77305982427276,119671903.4459392,1.243174509140149e-06
87.74530783107816,8.877551020408163,117529191.42774823,7.553486e-08,152.2736024083733,119101623.14839393,1.2785182802979012e-06
87.74578879114448,9.081632653061224,116801854.05121179,7.775247e-08,155.77414499247382,118364554.671451,1.3160539945836154e-06
87.74464461140036,9.285714285714285,114608805.32398453,8.102095e-08,159.27468757657437,116142164.98355073,1.3713769465132024e-06
87.74549008970565,9.489795918367347,115402109.8290218,8.223243e-08,162.7752301606749,116946083.16807218,1.391882701421801e-06
87.74603180230065,9.693877551020408,114650690.63922657,8.455141e-08,166.27577274477545,116184610.68551469,1.4311342247799594e-06
87.745186325275,9.89795918367347,114128441.9982115,8.672649e-08,169.776315328876,115655374.84141229,1.467950067704807e-06
87.74536858396438,10.10204081632653,113415420.71120377,8.907114e-08,173.2768579129765,114932813.99001576,1.507636086662153e-06
87.74603180230065,10.306122448979592,112780513.83552484,9.138212e-08,176.77740049707705,114289412.64841866,1.546752200406229e-06
87.74506481943047,10.510204081632654,112172114.59255797,9.369712e-08,180.27794308117763,113672873.58710678,1.585936357481381e-06
87.74578879114448,10.714285714285715,111459876.49532342,9.612684e-08,183.77848566527814,112951106.40383717,1.627062288422478e-06
87.7462140605595,10.918367346938776,110933426.40405898,9.84227e-08,187.27902824937868,112417612.89797264,1.6659224779959379e-06
87.7459710495271,11.122448979591837,110324791.12429972,1.008155e-07,190.7795708334792,111800834.6419147,1.7064234935680432e-06
87.74578879114448,11.326530612244898,109781074.38366038,1.031738e-07,194.28011341757974,111249843.47489975,1.7463405551794176e-06
87.74584954394908,11.53061224489796,109134149.74433829,1.056554e-07,197.78065600168028,110594263.58311333,1.78834461746784e-06
87.74573310106462,11.73469387755102,108543316.04134484,1.081107e-07,201.2811985857808,109995525.07242973,1.8299035206499662e-06
87.74584954394908,11.938775510204081,105426819.39702815,1.132423e-07,204.78174116988134,106837332.58964707,1.91676201760325e-06
87.7461533078169,12.142857142857142,106959515.949048,1.135276e-07,208.28228375398186,108390535.20188262,1.9215910629654705e-06
87.74603180230065,12.346938775510203,9129042.562614292,1.35249e-06,211.7828263380824,9251180.69638512,2.2892518618821933e-05
87.74639631872559,12.551020408163264,9125824.644385904,1.37533e-06,215.28336892218294,9247919.72539141,2.3279113067027758e-05
87.7463355660139,12.755102040816327,9121563.64792142,1.398346e-06,218.7839115062835,9243601.720740953,2.3668686526743397e-05
87.74573310106462,12.959183673469388,9117549.696568664,1.421345e-06,222.28445409038403,9239534.066436993,2.4057972241029113e-05
87.74639631872559,13.16326530612245,9113083.103801379,1.444436e-06,225.78499667448455,9235007.714795634,2.4448815165876776e-05
